Date,closedPnL_num_sum,closedPnL_num_mean,closedPnL_num_median,size_num_sum,size_num_mean,size_num_median,notional_sum,notional_mean,pnl_pct_mean,leverage_num_mean,trade_count,win_rate,median_leverage,Classification,sentiment_code
2023-01-05,0.0,0.0,0.0,0.25129999999999997,0.08376666666666666,0.0824,476.99280999999996,158.99760333333333,0.0,,3,0.0,,Fear,0.0
2023-05-12,0.0,0.0,0.0,11.80901,1.3121122222222223,0.58211,50005.82917,5556.20324111111,0.0,,9,0.0,,Neutral,
2024-01-01,-129.53146,-7.196192222222223,0.0,4178.78664,232.15481333333335,8.09151,264239.51261,14679.972922777777,-0.001354254305259491,,18,0.05555555555555555,,Greed,1.0
2024-01-02,0.0,0.0,0.0,44986.0,7497.666666666667,5669.5,2008.1847710000002,334.69746183333336,0.0,,6,0.0,,Greed,1.0
2024-01-03,8244.241409,60.176944591240876,27.04384,25984676.0,189669.1678832117,878.0,472974.663145,3452.369803978102,0.032564892305794825,,137,0.9343065693430657,,Greed,1.0
2024-01-04,2507.963406,32.57095332467532,0.54675,9563430.3674,124200.39438181819,1060.0,339470.500845,4408.707803181818,0.016573696363316334,,77,0.5454545454545454,,Greed,1.0
2024-01-05,0.0,0.0,0.0,29.825,2.1303571428571426,1.6883,87025.4638,6216.104557142857,0.0,,14,0.0,,Greed,1.0
2024-01-06,91.510419,3.66041676,0.0,499938.0,19997.52,485.0,12834.623744,513.38494976,0.00542600829947285,,25,0.36,,Greed,1.0
2024-01-07,5065.839308,79.1537391875,0.0,1227237.4996,19175.58593125,86.25,362670.14177832,5666.72096528625,0.01059434581229537,,64,0.40625,,Greed,1.0
2024-01-08,167.080017,2.9312283684210527,0.0,292827.2818435,5137.320734096491,3.937,227774.51260871076,3996.044080854575,0.0006039149646036338,,57,0.07017543859649122,,Greed,1.0
2024-01-09,137.433093,11.452757750000002,0.0,5846.961139999999,487.2467616666666,317.70000000000005,12359.663834683,1029.9719862235834,0.008313323863422676,,12,0.4166666666666667,,Extreme Greed,
2024-01-10,0.0,0.0,0.0,2.25636,0.56409,0.5119549999999999,139954.32129,34988.5803225,0.0,,4,0.0,,Greed,1.0
2024-01-11,1040.475736,45.238075478260875,0.0,57939.29527,2519.099794347826,1452.0,260981.03281,11347.00142652174,0.0010570550042825252,,23,0.2608695652173913,,Extreme Greed,
2024-01-12,40886.364494,98.28453003365385,0.5600160000000001,3560119.23642001,8557.978933701948,73.035,814711.9570724809,1958.442204501156,0.2009405886561583,,416,0.53125,,Greed,1.0
2024-02-01,783.979116,46.11641858823529,0.0,208218.35486,12248.13852117647,3175.0,121348.72987200001,7138.160580705883,0.05840694697896282,,17,0.47058823529411764,,Greed,1.0
2024-02-02,456.423473,10.867225547619048,0.0,42139.736820000006,1003.3270671428572,1.5717,474278.433764,11292.34366104762,0.0222234288419947,,42,0.30952380952380953,,Greed,1.0
2024-02-03,230.90060000000005,7.448406451612905,1.3124,651733.0,21023.645161290322,460.0,63197.542455,2038.6304017741936,-0.07441099603557542,,31,0.6774193548387096,,Greed,1.0
2024-02-04,883.760812,21.555141756097562,0.0,5958.1049,145.3196317073171,1.099,239664.47561000002,5845.4750148780495,0.003054844554324435,,41,0.2926829268292683,,Greed,1.0
2024-02-06,192.906947,2.074268247311828,0.0,31288.5,336.43548387096774,172.0,29464.546476,316.82308038709675,0.0072570471626975976,,93,0.3655913978494624,,Greed,1.0
2024-02-07,2421.253116,134.514062,10.35,11420.300000000001,634.4611111111112,58.5,33347.468420000005,1852.6371344444447,0.04432660062602436,,18,0.7222222222222222,,Greed,1.0
2024-02-08,782.3681909999999,12.418542714285714,0.0,68333.3740408,1084.6567308063493,0.687,396320.3565008986,6290.799309538073,0.002989243076510612,,63,0.2698412698412698,,Greed,1.0
2024-02-09,0.0,0.0,0.0,12.3657,6.18285,6.18285,30000.424769999998,15000.212384999999,0.0,,2,0.0,,Greed,1.0
2024-02-10,0.0,0.0,0.0,1.64099,0.4102475,0.34402499999999997,99954.34189,24988.5854725,0.0,,4,0.0,,Greed,1.0
2024-02-11,0.0,0.0,0.0,0.58072,0.29036,0.29036,39999.9936,19999.9968,0.0,,2,0.0,,Greed,1.0
2024-02-12,18489.604313,68.48001597407408,0.0,210965.83884,781.3549586666667,68.745,585243.4758392512,2167.5684290342638,0.08225614831765574,,270,0.4074074074074074,,Greed,1.0
2024-03-01,866.015507,12.925604582089552,0.0,64502.1274,962.718319402985,217.1,394499.36837399995,5888.050274238805,0.0023976016580168572,,67,0.417910447761194,,Extreme Greed,
2024-03-02,223.30918699999998,3.9876640535714283,0.0,9661.26755,172.52263482142857,0.11955,603819.98881,10782.499800178572,4.502297112781338e-05,,56,0.10714285714285714,,Extreme Greed,
2024-03-03,8361.086245,105.83653474683545,15.04116,48774887.74,617403.642278481,7453.0,390745.677042,4946.147810658228,0.03077121775280245,,79,0.6835443037974683,,Extreme Greed,
2024-03-04,126.7884,31.6971,0.0,2310.0,577.5,738.0,16887.5616,4221.8904,0.00903734876380852,,4,0.25,,Extreme Greed,
2024-03-05,5306.017045,147.3893623611111,0.0,42527.4724,1181.3186777777778,4.3891,282682.63886,7852.295523888889,0.004848433779784563,,36,0.4722222222222222,,Extreme Greed,
2024-03-06,562.808208,8.040117257142859,4.63499,19199.3,274.2757142857143,162.6,21466.868433,306.6695490428571,0.022945952531108125,,70,0.6285714285714286,,Extreme Greed,
2024-03-07,1118.387284,62.132626888888886,0.0,256.5812,14.254511111111112,5.6843,179600.65518,9977.814176666667,0.008604763090199983,,18,0.2222222222222222,,Extreme Greed,
2024-03-08,464.1897,12.545667567567568,0.0,71917.87894000001,1943.726457837838,2.909,290532.88809492247,7852.240218781689,0.0027669663559795814,,37,0.02702702702702703,,Extreme Greed,
2024-03-10,100.375782,11.152864666666666,0.0,3777.99039,419.77671,136.23,132935.701832,14770.633536888889,0.005108375910131577,,9,0.3333333333333333,,Extreme Greed,
2024-03-11,0.0,0.0,0.0,129416.61818,21569.436363333334,0.58726,129055.6699,21509.278316666667,0.0,,6,0.0,,Extreme Greed,
2024-03-12,23576.539285,63.03887509358289,0.0,251246.61252,671.7823864171123,50.0,1084666.510653,2900.1778359705886,0.05738761597225648,,374,0.4304812834224599,,Extreme Greed,
2024-04-01,-67.60364,-13.520728,-0.0786,45.0958,9.01916,1.5065,99792.53588000001,19958.507176000003,-0.000804908100505078,,5,0.0,,Extreme Greed,
2024-04-02,47.62389499999999,1.360682714285714,-0.02695,20905.14109,597.2897454285715,1.4731,203187.53669,5805.358191142857,-0.01109829423679159,,35,0.2571428571428571,,Extreme Greed,
2024-04-03,27799.775742,92.66591914,30.85353,36892599.52038,122975.3317346,16078.0,1577996.746285,5259.989154283333,0.04039785985546077,,300,0.8866666666666667,,Greed,1.0
2024-04-04,0.0,0.0,0.0,28.284299999999998,0.8838843749999999,0.28500000000000003,95987.71009,2999.6159403125,0.0,,32,0.0,,Greed,1.0
2024-04-05,0.0,0.0,0.0,579928.2829,64436.475877777775,4.8314,58998.751001000004,6555.41677788889,0.0,,9,0.0,,Extreme Greed,
2024-04-06,52.211438,0.9851214716981133,0.0,2483.33818,46.85543735849057,21.3,24243.41788,457.42297886792454,0.0019124911499407964,,53,0.4716981132075472,,Extreme Greed,
2024-04-07,0.0,0.0,0.0,302.9901,12.119603999999999,6.191,430567.99370999995,17222.7197484,0.0,,25,0.0,,Extreme Greed,
2024-04-08,-122672.000883,-965.9212667952756,0.0,227049.7193107,1787.7930654385825,0.8109,1207744.076719446,9509.795879680678,-0.0711289119614211,,127,0.023622047244094488,,Extreme Greed,
2024-04-09,1065.785132,31.346621529411763,0.0,52210.38311,1535.5995032352942,32.0,131480.94938499999,3867.0867466176464,0.006274657225791323,,34,0.14705882352941177,,Extreme Greed,
2024-04-10,0.0,0.0,0.0,307.367829,307.367829,307.367829,0.33810461189999996,0.33810461189999996,0.0,,1,0.0,,Extreme Greed,
2024-04-11,2799.410474,77.76140205555555,29.134382,129421.2777,3595.035491666667,0.313855,451811.99086,12550.333079444445,0.010485192154292012,,36,0.6388888888888888,,Extreme Greed,
2024-04-12,292891.815021,918.1561599404388,0.0,13484938.200452391,42272.5335437379,250.0,769287.6978940717,2411.5601814861184,0.23604069251618728,,319,0.46394984326018807,,Extreme Greed,
2024-05-01,164.141565,2.486993409090909,0.0,251.80766,3.815267575757576,0.415995,1703942.66731,25817.313141060604,0.0001113321724453782,,66,0.19696969696969696,,Neutral,
2024-05-02,-33.45419400000003,-0.4646415833333337,0.0,29741.6286,413.078175,1.09763,770198.24871,10697.197898749999,-0.0006307962768986157,,72,0.19444444444444445,,Fear,0.0
2024-05-03,19791.026041,109.95014467222222,34.3644515,44987293.0,249929.40555555557,28592.0,841810.2949559999,4676.723860866667,0.03980082231666449,,180,0.9055555555555556,,Neutral,
2024-05-04,10706.484306,107.06484306,8.978760000000001,208515.2373,2085.152373,238.75,503791.831726,5037.91831726,0.022739250303498347,,100,0.9,,Greed,1.0
2024-05-05,0.916,0.15266666666666667,0.0,15.6288,2.6048,3.5923,24068.344540000002,4011.390756666667,0.0037517611979422656,,6,0.16666666666666666,,Greed,1.0
2024-05-06,56.055506,1.038064925925926,0.0,2452.07392,45.408776296296296,22.2,25350.75432,469.45841333333334,0.001186380682925007,,54,0.2962962962962963,,Greed,1.0
2024-05-07,0.0,0.0,0.0,5354.8189999999995,167.33809374999998,7.4216,272289.87738,8509.058668125,0.0,,32,0.0,,Greed,1.0
2024-05-08,-13013.665169,-162.6708146125,0.0,422142.75432,5276.784429,3.0,420495.37342,5256.19216775,-0.00411583188816623,,80,0.4125,,Greed,1.0
2024-05-09,0.0,0.0,0.0,10818.93703,10818.93703,10818.93703,0.8427951946369999,0.8427951946369999,0.0,,1,0.0,,Greed,1.0
2024-05-10,5767.161892,155.86924032432432,39.480396,2278.873416,61.5911734054054,0.21828,605605.7145409533,16367.722014620358,0.006970947372276551,,37,0.6486486486486487,,Greed,1.0
2024-05-11,678.4759280000001,67.8475928,10.511846,2.96249,0.296249,0.27829,200627.22152,20062.722152,0.0022521262549011186,,10,0.5,,Neutral,
2024-05-12,71574.11848800001,156.96078615789474,0.0,75629.96987,165.85519708333334,26.02,1256750.7987900001,2756.0324534868423,0.09405373647095822,,456,0.4232456140350877,,Greed,1.0
2024-06-01,135.58166400000002,6.16280290909091,0.0,7077.42664,321.7012109090909,35.3842,298521.41284,13569.15512909091,0.001086395173820407,,22,0.45454545454545453,,Greed,1.0
2024-06-02,-215.615907,-0.19817638511029412,0.0,55455572.2847,50970.19511461397,0.15884500000000001,8047153.469136,7396.280762073529,-0.00013065001148944498,,1088,0.1645220588235294,,Greed,1.0
2024-06-03,6814.825139,83.10762364634145,27.00537,10955146.0,133599.34146341463,1193.2,327217.990646,3990.4633005609758,0.03812296595350295,,82,0.8780487804878049,,Greed,1.0
2024-06-04,236.33513399999998,14.770945874999999,0.0,20.4808,1.28005,0.6787,68223.66744,4263.979215,0.003246879653099432,,16,0.25,,Greed,1.0
2024-06-05,968.59038,107.62115333333333,0.0,66.07939999999999,7.342155555555554,4.6768,206016.42648,22890.714053333333,0.0032080133088578425,,9,0.4444444444444444,,Extreme Greed,
2024-06-06,274.173187,1.1716802863247862,0.0,71093.724,303.81933333333336,277.1,137557.83376,587.8539904273505,0.002312033183609169,,234,0.42735042735042733,,Extreme Greed,
2024-06-07,108.87217799999999,4.53634075,0.0,983577.0,40982.375,69420.0,2490.18429332,103.75767888833333,0.021287903342916113,,24,0.2916666666666667,,Extreme Greed,
2024-06-08,267.318048,2.4982995140186914,0.0,305641.96643,2856.466975981308,285.0,61478.393769969996,574.564427756729,0.0770631653185445,,107,0.12149532710280374,,Greed,1.0
2024-06-09,-1104.856765,-26.306113452380952,-24.855381,1449.6331,34.51507380952381,32.0,39047.114830000006,929.6932102380954,-0.2490233075343705,,42,0.0,,Extreme Greed,
2024-06-10,130.487079,5.9312308636363635,0.0,4.8180499999999995,0.2190022727272727,0.10252,300130.58184,13642.299174545455,0.0004957358183303506,,22,0.22727272727272727,,Greed,1.0
2024-06-11,2817.83723,187.85581533333334,0.0,11683.6737,778.91158,0.14566,123906.91204000001,8260.460802666666,0.025696106750324868,,15,0.4666666666666667,,Greed,1.0
2024-06-12,-92624.643895,-229.83782604218362,0.0,108676.63024,269.6690576674938,19.27,3471019.3051,8612.951129280396,0.060874126726516146,,403,0.23325062034739455,,Greed,1.0
2024-07-01,-835.681235,-8.615270463917525,0.0,165182.52107,1702.9125883505153,22.6302,1048850.051251,10812.887126298969,-0.0014659876006680014,,97,0.09278350515463918,,Neutral,
2024-07-02,241.24212,16.082808,0.0,13261.9,884.1266666666667,107.5,6758.70464,450.58030933333333,0.018161287799247645,,15,0.13333333333333333,,Neutral,
2024-07-04,0.0,0.0,0.0,14.7128,0.6396869565217391,0.2,49988.1611,2173.398308695652,0.0,,23,0.0,,Fear,0.0
2024-07-05,883.537693,49.08542738888889,9.50184,619867.0196,34437.05664444444,5.9535,108717.587358,6039.865964333334,0.010229862516919876,,18,0.5,,Fear,0.0
2024-07-06,8902.467416,20.23288049090909,0.0,272861.1558,620.1389904545455,338.05,1098588.8932400001,2496.7929391818184,0.004439355856292894,,440,0.4,,Fear,0.0
2024-07-07,61.428942,6.1428942,4.9143155,125.0,12.5,10.0,498.75,49.875,0.12316580454607151,,10,1.0,,Fear,0.0
2024-07-08,188.789255,5.720886515151515,0.0,29210.93451012,885.1798336400001,12.0,2492.769600670129,75.53847274757966,0.049121699063019414,,33,0.30303030303030304,,Fear,0.0
2024-07-10,0.0,0.0,0.0,3.4539,0.16447142857142857,0.05292,219984.64516000001,10475.459293333333,0.0,,21,0.0,,Fear,0.0
2024-07-11,4493.353136,39.764187044247784,3.894186,132565.51276,1173.1461306194692,98.0,111335.248923,985.2676895840708,0.1460693010358661,,113,0.5309734513274337,,Fear,0.0
2024-07-12,85906.279067,282.5864442993421,0.0,1291173.42509178,4247.281003591382,61.9,451733.35789760563,1485.964993084229,0.08018624761783281,,304,0.4309210526315789,,Fear,0.0
2024-08-01,-269.874439,-2.1083940546875,0.0,108119.81523000001,844.6860564843751,1.11188,1522452.47911,11894.159993046875,-0.0011168904600843573,,128,0.25,,Neutral,
2024-08-02,770.756024,77.07560240000001,0.0,5609953.100000001,560995.31,317.55,26051.1241,2605.11241,0.021876745392377175,,10,0.4,,Greed,1.0
2024-08-03,4271.886236,63.7594960597015,12.4432,3448270.8,51466.72835820895,207.0,183583.229574,2740.048202597015,0.04670959429604656,,67,0.8805970149253731,,Fear,0.0
2024-08-04,1218.4267,40.614223333333335,0.0,11492.048999999999,383.06829999999997,0.7341,211940.64508,7064.688169333333,0.0017080645678893489,,30,0.03333333333333333,,Fear,0.0
2024-08-05,1.56576,0.12044307692307693,0.0,239.8835,18.452576923076922,3.9334,65973.57249,5074.890191538462,0.003278006291100177,,13,0.07692307692307693,,Fear,0.0
2024-08-06,129.13883900000002,4.453063413793104,0.0,2425.2625000000003,83.62974137931036,4.67,97351.86465,3356.96085,0.0013990052764526436,,29,0.27586206896551724,,Extreme Fear,
2024-08-07,0.0,0.0,0.0,156.0,156.0,156.0,497.64,497.64,0.0,,1,0.0,,Fear,0.0
2024-08-08,-40.712216999999995,-4.5235796666666666,0.0,14545.8545382,1616.2060597999998,271.35,16299.355026344874,1811.0394473716526,-0.02962734917944681,,9,0.0,,Extreme Fear,
2024-08-09,0.0,0.0,0.0,0.93414,0.93414,0.93414,0.10981749839999999,0.10981749839999999,0.0,,1,0.0,,Neutral,
2024-08-10,5396.546638,149.90407327777777,29.615628,414.530151,11.514726416666667,0.11560999999999999,434584.1281958693,12071.781338774148,0.011969984006570223,,36,0.9166666666666666,,Fear,0.0
2024-08-11,-64.41354100000007,-1.6516292564102582,0.0,8026.56244,205.80929333333333,0.22685,270700.42376000003,6941.036506666667,-0.01216597308697221,,39,0.15384615384615385,,Fear,0.0
2024-08-12,15965.933436,38.014127228571425,0.0,930353.7121,2215.127885952381,20.605,932939.660374,2221.284905652381,0.03562927917749933,,420,0.3619047619047619,,Fear,0.0
2024-09-01,-826.349863,-11.804998042857143,0.0,129356.31168,1847.9473097142857,6.6815,870051.9215299999,12429.313164714285,-0.0017712188580111287,,70,0.2571428571428571,,Fear,0.0
2024-09-03,9949.501624,85.03847541880343,25.01825,17984276.7,153711.76666666666,937.5,658178.765539,5625.4595345213675,0.02477063800589302,,117,0.8290598290598291,,Fear,0.0
